Sample,Group,Description,total_input_reads,reads_passed_filtering,R_reads_after_denoising,F_reads_after_denoising,merged_reads,non_chimera_reads
Sample-1,Thermal,Control,600647,71945,70447,70779,58404,58283
Sample-2,Thermal,Heat_Shock,38495,4803,4408,4443,3146,3146
Sample-3,Thermal,Preheat,1442786,204677,202301,202921,171843,170651
Sample-7,Mudbucket,Control,1529,233,171,179,156,156
Sample-8,Mudbucket,tetracycline_1,1140,136,89,101,80,80
Sample-9,Mudbucket,tetracycline_2,179,25,11,11,8,8
Sample-10,Mudbucket,tetracycline_rifampicin,320,43,30,31,28,28
Sample-13,Green_Sludge,tube1,142096,8212,8149,8140,7833,7833
Sample-14,Green_Sludge,tube2,188964,12931,12123,12278,10673,10573
Sample-15,Green_Sludge,tube3,1536624,162939,160099,160925,148823,147639
Sample-16,Green_Sludge,control,235898,18257,17006,17281,15116,14946
Sample-19,Saltbaes,control,7450,454,323,293,245,245
Sample-20,Saltbaes,sample1,2591598,190792,182335,184808,159728,148924
Sample-21,Saltbaes,sample2,122093,9423,8861,8853,7779,7779
Sample-22,Saltbaes,sample3,753351,51016,48698,48958,44672,44658
Sample-25,Microbiohomies,sample1,7256,849,729,746,636,636
Sample-26,Microbiohomies,sample2,2453,225,173,172,162,162
Sample-27,Microbiohomies,control,7129,793,670,668,574,574
Sample-28,Microbiohomies,both,7912,980,843,833,752,752
Sample-30,Microbiohomies,no_description,925161,102466,101930,102024,74356,69828
Sample-31,Losegradsky_Column,cpmtrp;,2398738,255566,250035,251638,231810,229782
Sample-32,Losegradsky_Column,malathion,954,51,21,19,2,2
Sample-33,Losegradsky_Column,malathion,3331,199,112,123,82,82
Sample-34,Losegradsky_Column,malathion,3714,328,240,221,175,175
Sample-35,negative_control,negative_control,50481,5749,5360,5218,4594,4594
Sample-41,oil_wells,control,24413,2893,2613,2604,2454,2454
